Month,California All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
Apr-23,4.787
Mar-23,4.786
Feb-23,4.591
Jan-23,4.368
Dec-22,4.418
Nov-22,5.173
Oct-22,5.905
Sep-22,5.375
Aug-22,5.333
Jul-22,5.897
Jun-22,6.294
May-22,5.871
Apr-22,5.692
Mar-22,5.655
Feb-22,4.66
Jan-22,4.584
Dec-21,4.597
Nov-21,4.598
Oct-21,4.4
Sep-21,4.31
Aug-21,4.319
Jul-21,4.253
Jun-21,4.182
May-21,4.068
Apr-21,3.911
Mar-21,3.781
Feb-21,3.434
Jan-21,3.262
Dec-20,3.143
Nov-20,3.115
Oct-20,3.137
Sep-20,3.174
Aug-20,3.156
Jul-20,3.102
Jun-20,2.972
May-20,2.771
Apr-20,2.827
Mar-20,3.262
Feb-20,3.447
Jan-20,3.489
Dec-19,3.61
Nov-19,3.944
Oct-19,4.116
Sep-19,3.687
Aug-19,3.555
Jul-19,3.668
Jun-19,3.787
May-19,4.019
Apr-19,3.894
Mar-19,3.342
Feb-19,3.236
Jan-19,3.232
Dec-18,3.368
Nov-18,3.632
Oct-18,3.76
Sep-18,3.588
Aug-18,3.556
Jul-18,3.605
Jun-18,3.673
May-18,3.69
Apr-18,3.617
Mar-18,3.476
Feb-18,3.418
Jan-18,3.269
Dec-17,3.187
Nov-17,3.294
Oct-17,3.137
Sep-17,3.22
Aug-17,3.073
Jul-17,3.005
Jun-17,3.08
May-17,3.101
Apr-17,3.067
Mar-17,3.059
Feb-17,2.946
Jan-17,2.848
Dec-16,2.738
Nov-16,2.788
Oct-16,2.862
Sep-16,2.803
Aug-16,2.745
Jul-16,2.911
Jun-16,2.93
May-16,2.855
Apr-16,2.822
Mar-16,2.679
Feb-16,2.477
Jan-16,2.823
Dec-15,2.776
Nov-15,2.819
Oct-15,2.945
Sep-15,3.175
Aug-15,3.594
Jul-15,3.812
Jun-15,3.596
May-15,3.804
Apr-15,3.261
Mar-15,3.388
Feb-15,2.756
Jan-15,2.596
Dec-14,2.916
Nov-14,3.234
Oct-14,3.585
Sep-14,3.821
Aug-14,3.961
Jul-14,4.11
Jun-14,4.163
May-14,4.22
Apr-14,4.21
Mar-14,3.984
Feb-14,3.726
Jan-14,3.666
Dec-13,3.642
Nov-13,3.641
Oct-13,3.829
Sep-13,3.989
Aug-13,3.919
Jul-13,4.056
Jun-13,4.05
May-13,4.051
Apr-13,4.031
Mar-13,4.192
Feb-13,4.127
Jan-13,3.678
Dec-12,3.628
Nov-12,3.893
Oct-12,4.458
Sep-12,4.211
Aug-12,4.109
Jul-12,3.821
Jun-12,4.133
May-12,4.353
Apr-12,4.292
Mar-12,4.414
Feb-12,4.027
Jan-12,3.747
Dec-11,3.648
Nov-11,3.848
Oct-11,3.89
Sep-11,3.971
Aug-11,3.823
Jul-11,3.844
Jun-11,3.965
May-11,4.229
Apr-11,4.206
Mar-11,4.002
Feb-11,3.576
Jan-11,3.389
Dec-10,3.297
Nov-10,3.205
Oct-10,3.146
Sep-10,3.064
Aug-10,3.186
Jul-10,3.171
Jun-10,3.134
May-10,3.136
Apr-10,3.138
Mar-10,3.104
Feb-10,2.993
Jan-10,3.065
Dec-09,2.964
Nov-09,3.006
Oct-09,3.062
Sep-09,3.169
Aug-09,3.057
Jul-09,2.92
Jun-09,2.969
May-09,2.531
Apr-09,2.377
Mar-09,2.239
Feb-09,2.265
Jan-09,2.051
Dec-08,1.871
Nov-08,2.507
Oct-08,3.44
Sep-08,3.842
Aug-08,4.128
Jul-08,4.511
Jun-08,4.531
May-08,4.015
Apr-08,3.846
Mar-08,3.609
Feb-08,3.231
Jan-08,3.296
Dec-07,3.353
Nov-07,3.394
Oct-07,3.112
Sep-07,2.922
Aug-07,2.948
Jul-07,3.174
Jun-07,3.329
May-07,3.485
Apr-07,3.339
Mar-07,3.105
Feb-07,2.713
Jan-07,2.616
Dec-06,2.587
Nov-06,2.508
Oct-06,2.593
Sep-06,2.937
Aug-06,3.212
Jul-06,3.26
Jun-06,3.26
May-06,3.337
Apr-06,2.925
Mar-06,2.624
Feb-06,2.54
Jan-06,2.424
Dec-05,2.319
Nov-05,2.57
Oct-05,2.926
Sep-05,3.032
Aug-05,2.721
Jul-05,2.559
Jun-05,2.41
May-05,2.52
Apr-05,2.596
Mar-05,2.346
Feb-05,2.163
Jan-05,2.016
Dec-04,2.143
Nov-04,2.35
Oct-04,2.376
Sep-04,2.115
Aug-04,2.131
Jul-04,2.233
Jun-04,2.322
May-04,2.298
Apr-04,2.185
Mar-04,2.143
Feb-04,1.914
Jan-04,1.722
Dec-03,1.681
Nov-03,1.74
Oct-03,1.839
Sep-03,2.068
Aug-03,1.913
Jul-03,1.789
Jun-03,1.809
May-03,1.89
Apr-03,2.092
Mar-03,2.15
Feb-03,1.853
Jan-03,1.662
Dec-02,1.585
Nov-02,1.624
Oct-02,1.579
Sep-02,1.627
Aug-02,1.637
Jul-02,1.648
Jun-02,1.633
May-02,1.617
Apr-02,1.657
Mar-02,1.507
Feb-02,1.319
Jan-02,1.231
Dec-01,1.204
Nov-01,1.403
Oct-01,1.592
Sep-01,1.708
Aug-01,1.608
Jul-01,1.817
Jun-01,1.975
May-01,1.993
Apr-01,1.837
Mar-01,1.738
Feb-01,1.682
Jan-01,1.646
Dec-00,1.726
Nov-00,1.811
Oct-00,1.856
Sep-00,1.869
Aug-00,1.72
Jul-00,1.754
Jun-00,1.669
