County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DCFC,Shared Private DCFC,Total
Alameda,14,14,1274,1398,258,32,2990
Alpine,0,0,12,0,0,0,12
Amador,0,0,23,6,0,0,29
Butte,6,0,32,20,16,0,74
Calaveras,0,0,7,0,0,0,7
Colusa,0,0,16,2,10,0,28
Contra Costa,8,0,469,422,167,2,1068
Del Norte,0,0,10,0,20,0,30
El Dorado,1,0,109,5,35,0,150
Fresno,8,0,355,238,77,6,684
Glenn,0,0,4,0,10,0,14
Humboldt,1,0,77,8,18,1,105
Imperial,0,0,0,5,10,0,15
Inyo,0,0,6,3,14,0,23
Kern,4,0,106,30,97,4,241
Kings,0,0,36,44,42,0,122
Lake,0,0,10,0,0,0,10
Lassen,0,0,4,0,0,0,4
Los Angeles,22,105,5711,10161,699,72,16770
Madera,0,0,48,14,20,2,84
Marin,11,0,381,184,52,1,629
Mariposa,0,0,8,0,8,0,16
Mendocino,2,0,79,8,21,0,110
Merced,10,0,36,19,27,2,94
Modoc,0,0,4,0,0,0,4
Mono,0,0,19,0,12,0,31
Monterey,15,0,208,59,65,1,348
Napa,1,0,249,26,39,1,316
Nevada,0,0,46,5,35,0,86
Orange,8,0,2114,2265,392,20,4799
Placer,0,1,125,86,92,1,305
Plumas,0,0,5,0,0,0,5
Riverside,7,0,806,161,324,8,1306
Sacramento,85,7,652,544,144,6,1438
San Benito,1,0,11,10,22,0,44
San Bernardino,1,1,502,194,268,33,999
San Diego,2,3,1708,4088,240,32,6073
San Francisco,55,3,637,524,33,12,1264
San Joaquin,0,0,80,149,67,10,306
San Luis Obispo,1,0,299,91,50,1,442
San Mateo,7,16,1465,1865,239,25,3617
Santa Barbara,11,0,240,146,39,1,437
Santa Clara,11,20,2770,10927,387,49,14164
Santa Cruz,2,0,113,78,57,0,250
Shasta,0,0,18,27,10,2,57
Sierra,0,0,1,0,0,0,1
Siskiyou,0,0,18,4,33,0,55
Solano,5,0,169,115,77,3,369
Sonoma,15,0,360,207,87,1,670
Stanislaus,5,0,56,17,31,13,122
Sutter,0,0,2,6,12,0,20
Tehama,0,0,5,4,23,0,32
Trinity,0,0,4,0,0,0,4
Tulare,0,0,45,6,15,10,76
Tuolumne,0,0,30,6,9,0,45
Ventura,6,0,392,234,109,8,749
Yolo,10,0,147,89,18,0,264
Yuba,0,0,9,5,0,0,14
Unknown,0,0,2,14,0,0,16
Total,335,170,22124,34519,4530,359,62037
