County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,0,70,1724,2104,366,34,5139
Alpine,0,0,16,0,0,0,16
Amador,0,0,25,0,8,0,33
Butte,6,0,66,46,27,1,158
Calaveras,0,2,9,0,12,0,23
Colusa,0,0,18,0,18,0,36
Contra Costa,2,2,575,445,245,1,1699
Del Norte,0,0,12,1,17,2,32
El Dorado,1,0,144,0,48,0,193
Fresno,8,1,577,381,225,9,1321
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,116,10,22,0,148
Imperial,0,0,12,11,20,0,43
Inyo,0,0,8,5,35,1,49
Kern,4,1,171,229,190,1,629
Kings,0,0,51,16,101,0,168
Lake,0,0,15,0,0,0,15
Lassen,0,1,7,0,8,0,16
Los Angeles,31,120,7651,15360,1244,181,24615
Madera,0,1,51,5,93,2,152
Marin,1,0,490,308,83,0,1052
Mariposa,0,0,35,0,10,0,45
Mendocino,0,0,118,7,37,0,162
Merced,10,2,40,19,48,3,134
Modoc,0,0,4,0,8,0,12
Mono,0,0,20,5,12,0,37
Monterey,1,0,217,44,136,2,400
Napa,0,0,321,17,46,0,403
Nevada,0,1,63,43,45,0,152
Orange,1,0,2777,1787,600,24,5189
Placer,0,1,225,56,128,2,448
Plumas,0,0,8,0,0,0,8
Riverside,0,1,969,113,401,9,1493
Sacramento,69,18,909,534,259,18,1839
San Benito,0,0,12,10,25,0,47
San Bernardino,3,11,662,437,419,28,1560
San Diego,2,17,2286,4259,480,30,7074
San Francisco,12,6,652,677,113,29,1575
San Joaquin,0,0,190,207,116,9,596
San Luis Obispo,0,1,353,81,128,0,640
San Mateo,3,36,2141,1921,304,17,4799
Santa Barbara,3,2,311,101,97,1,515
Santa Clara,3,75,3883,11344,614,40,16981
Santa Cruz,1,0,192,69,70,0,356
Shasta,0,0,41,39,23,2,105
Sierra,0,0,1,0,0,0,1
Siskiyou,0,1,24,0,43,0,68
Solano,5,0,251,95,92,2,509
Sonoma,1,0,472,200,115,15,840
Stanislaus,1,1,56,31,52,1,158
Sutter,0,0,5,3,16,0,24
Tehama,0,0,12,35,32,1,80
Trinity,0,0,4,0,10,0,14
Tulare,0,3,55,32,48,22,160
Tuolumne,0,0,34,4,14,0,52
Ventura,4,0,409,269,131,8,821
Yolo,12,0,206,102,50,0,428
Yuba,0,0,25,33,0,0,60
Unknown,0,0,0,16,0,0,16
Total,184,374,29725,41511,7494,495,79783
